rides_in_thousands,start_station_name,member_casual
6.074,Federal St & Polk St,casual
11.562,Federal St & Polk St,member
7.42,Field Blvd & South Water St,member
6.174,Field Blvd & South Water St,casual
2.176,Field Museum,member
9.734,Field Museum,casual
6.872,Financial Pl & Ida B Wells Dr,member
3.175,Financial Pl & Ida B Wells Dr,casual
1.796,Fort Dearborn Dr & 31st St,casual
1.912,Fort Dearborn Dr & 31st St,member
2.22,Fort Dearborn Dr & 31st St*,casual
2.694,Fort Dearborn Dr & 31st St*,member
0.063,Francisco Ave & 47th St,casual
0.095,Francisco Ave & 47th St,member
0.006,Francisco Ave & 85th St,member
0.076,Francisco Ave & 85th St,casual
0.601,Francisco Ave & Bloomingdale Ave,member
0.608,Francisco Ave & Bloomingdale Ave,casual
0.54,Francisco Ave & Chicago Ave,casual
0.811,Francisco Ave & Chicago Ave,member
1.55,Francisco Ave & Foster Ave,member
0.602,Francisco Ave & Foster Ave,casual
0.03,Francisco Ave & Hollywood Ave,casual
0.029,Francisco Ave & Hollywood Ave,member
0.461,Francisco Ave & Montrose Ave,member
0.372,Francisco Ave & Montrose Ave,casual
3.333,Franklin St & Adams St (Temp),casual
7.67,Franklin St & Adams St (Temp),member
8.158,Franklin St & Chicago Ave,member
3.914,Franklin St & Chicago Ave,casual
9.764,Franklin St & Illinois St,member
4.743,Franklin St & Illinois St,casual
